Name,Net income,Year
Hilton,"1,257",2022
Hilton,407,2021
Hilton,-720,2020
Hilton,886,2019
Hilton,769,2018
Hilton,"1,089",2017
Hilton,364,2016
Hilton,"1,416",2015
Hilton,682,2014
Hilton,460,2013
Hilton,359,2012
Hilton,255,2011
